  Oxs_RungeKuttaEvolve:evolve:Total energy (J), Oxs_RungeKuttaEvolve:evolve:Energy calc count, Oxs_RungeKuttaEvolve:evolve:Max dm/dt (deg/ns), Oxs_RungeKuttaEvolve:evolve:dE/dt (J/s), Oxs_RungeKuttaEvolve:evolve:Delta E (J), Oxs_CubicAnisotropy::Energy (J), Oxs_UniformExchange::Energy (J), Oxs_UniformExchange::Max Spin Ang (deg), Oxs_UniformExchange::Stage Max Spin Ang (deg), Oxs_UniformExchange::Run Max Spin Ang (deg), Oxs_ScriptUZeeman::Energy (J), Oxs_ScriptUZeeman::B (mT), Oxs_ScriptUZeeman::Bx (mT), Oxs_ScriptUZeeman::By (mT), Oxs_ScriptUZeeman::Bz (mT), Oxs_FixedZeeman::Energy (J), Oxs_Demag::Energy (J), Oxs_TimeDriver::Iteration, Oxs_TimeDriver::Stage iteration, Oxs_TimeDriver::Stage, Oxs_TimeDriver::mx, Oxs_TimeDriver::my, Oxs_TimeDriver::mz, Oxs_TimeDriver::mx_corner, Oxs_TimeDriver::my_corner, Oxs_TimeDriver::mz_corner, Oxs_TimeDriver::Last time step (s), Oxs_TimeDriver::Simulation time (s)
  -1.9828331780812903e-17, 1,              4682.7570194493255, -4.7213120187663557e-08, 0,              -8.9917260260468269e-22, 0,              0,              0,              0,              -1.2796801199499635e-18, 200,            0,              200,            0,              -3.1992002998750553e-17, 1.3444250510490219e-17, 0,              0,              0,              0.99975009371095891, 0.019995001874219157, 0.0099975009371095786, 0.99975009371095369, 0.019995001874219126, 0.009997500937109563, 0,              0              
  -1.9828427416055936e-17, 7,              4682.848355997131, -4.7068270931523228e-08, -9.5635242979407221e-23, -8.9656807768392584e-22, 3.7808054735795836e-26, 0.0037343034053396343, 0.0037343034053396343, 0.0037343034053396343, -1.2795983662541092e-18, 199.99997717770123, 0,              199.99997717770123, 0,              -3.1992026169958236e-17, 1.3444093650426039e-17, 1,              1,              0,              0.99975081781119546, 0.019993726754234494, 0.0099273739877866266, 0.99975110357452457, 0.019995476157900805, 0.0098949661551764011, 2.0287193976844783e-15, 2.0287193976844783e-15
  -1.9828807018526529e-17, 13,             4683.2047065410234, -4.6488900193146238e-08, -3.7960247059486082e-22, -8.8635568320398252e-22, 9.4515715184875496e-25, 0.018669195512022455, 0.018669195512022455, 0.018669195512022455, -1.2792804766451915e-18, 199.9994294433117, 0,              199.9994294433117, 0,              -3.1992117023688877e-17, 1.3443475892333592e-17, 2,              2,              0,              0.99975365699027752, 0.019988814471340089, 0.0096468689410068916, 0.99975502028017327, 0.019997510974029974, 0.0094848295950526237, 8.1148775907379134e-15, 1.0143596988422391e-14
  -1.9830278415039376e-17, 19,             4684.4857677026739, -4.4171493206258082e-08, -1.4713965128400484e-21, -8.4879759503183917e-22, 1.6669275265205418e-23, 0.078369934276494982, 0.078369934276494982, 0.078369934276494982, -1.2781549435119719e-18, 199.98993561889984, 0,              199.98993561889984, 0,              -3.1992451141254396e-17, 1.3441159798046758e-17, 3,              3,              0,              0.99976409816419998, 0.019972176030329344, 0.0085249128168870935, 0.99976872311526754, 0.020007852718738173, 0.0078443450129428577, 3.2459510362951654e-14, 4.2603107351374044e-14
  -1.9835411007474319e-17, 25,             4687.2758952579288, -3.4881073744130481e-08, -5.1325924349485167e-21, -7.5121757604354372e-22, 2.7283409299979788e-22, 0.31644404000855242, 0.31644404000855242, 0.31644404000855242, -1.275987955924238e-18, 199.83517683590154, 0,              199.83517683590154, 0,              -3.1993319063912946e-17, 1.3434374395845908e-17, 4,              4,              0,              0.99979122074727855, 0.01995375601732834, 0.0040393962793883144, 0.99979212067689271, 0.020084428515142923, 0.0012847096442519163, 1.2983804145180661e-13, 1.7244114880318065e-13
  -1.9843605052111982e-17, 31,             4670.9807566996651, 3.9832850616717987e-09, -8.1940446376602761e-21, -1.1963183779884073e-21, 4.3625072949958858e-21, 1.2537100509384804, 1.2537100509384804, 1.2537100509384804, -1.3039184402416406e-18, 197.36372914161586, 0,              197.36372914161586, 0,              -3.1989356838906096e-17, 1.3446504038118748e-17, 5,              5,              0,              0.9996674012158151, 0.02064586610456343, -0.013784102068941441, 0.99938643258324411, 0.020951122779292865, -0.024833204894940057, 5.1935216580722646e-13, 6.9179331461040706e-13
  -1.9626306867238851e-17, 37,             4432.2677339715128, 2.3539501311634031e-07, 2.1729818487312728e-19, -1.4033589229512926e-20, 6.3492658348121382e-20, 4.5807000914145046, 4.5807000914145046, 4.5807000914145046, -1.7930525529220471e-18, 162.8877518130605, 0,              162.8877518130605, 0,              -3.1873936099934405e-17, 1.3991222716498992e-17, 6,              6,              0,              0.99606050312294958, 0.034399696511939443, -0.077074124056313004, 0.99091676900614967, 0.032539979314992529, -0.12038773826209614, 2.0290607522052012e-12, 2.7208540668156084e-12
  -1.8716628333419743e-17, 43,             3716.6627322198738, 5.6244967524414486e-07, 9.0967853381910715e-19, -3.9136858071569167e-20, 1.888067447171586e-19, 8.9924591155086269, 8.9924591155086269, 8.9924591155086269, -2.1273344526342363e-18, 101.14170115499164, 0,              101.14170115499164, 0,              -3.1641608543404984e-17, 1.4902644775973888e-17, 7,              7,              0,              0.98880026698140611, 0.065728775456273744, -0.12482412208743844, 0.97343755464585335, 0.058213275296250436, -0.20332288392735073, 2.2380320247834966e-12, 4.9588860915991051e-12
  -1.7325253655141769e-17, 49,             3087.7834996221245, 6.2886371225145454e-07, 1.39137467827797e-18, -6.4459503587988497e-20, 3.4473507388131368e-19, 12.500356578780302, 12.500356578780302, 12.500356578780302, -1.6236675557905639e-18, 47.867813772851413, 0,              47.867813772851413, 0,              -3.139762901760654e-17, 1.5415767347962009e-17, 8,              8,              0,              0.98117590680020406, 0.10599943285321374, -0.14605271613755264, 0.95386517356202272, 0.093111687486693531, -0.25918107952090758, 2.2224650666872738e-12, 7.1813511582863789e-12
  -1.613850306771221e-17, 55,             2789.3863710980413, 4.0982306323774022e-07, 1.1867505874295662e-18, -8.7545112838742187e-20, 5.0273697699801179e-19, 14.442090203709247, 14.442090203709247, 14.442090203709247, -8.1741903170890585e-19, 17.180644956930809, 0,              17.180644956930809, 0,              -3.1164678883959736e-17, 1.5428402983797161e-17, 9,              9,              0,              0.97389621512374125, 0.14868094186765948, -0.14787711185859853, 0.93468012082886354, 0.13396047843236383, -0.29534483406389583, 2.2276125187064919e-12, 9.4089636769928704e-12
